Performance/Event Code,Comps,Paid Tickets,Total Tickets,Total Gross
EPTT_2MAY2026JE,0,323,323,1478752.81
EPTT_3MAY2026JD,0,107,107,517740.0
EPTT_3MAY2026JM,0,279,279,1220364.28
EPTT_5MAY2026JE,0,57,57,210345.72
EPTT_6MAY2026JE,0,67,67,295313.57
EPTT_7MAY2026JE,0,52,52,211980.72
EPTT_8MAY2026JE,0,91,91,440278.56
EPTT_9MAY2026JE,0,264,264,1266940.0
EPTT_9MAY2026JM,0,395,395,1733118.53
EPTT_10MAY2026JE,0,120,120,617652.84
EPTT_10MAY2026JM,0,257,257,1071134.28
EPTT_12MAY2026JE,0,42,42,189872.86
EPTT_13MAY2026JE,0,37,37,163260.0
EPTT_14MAY2026JE,0,26,26,114899.29
EPTT_15MAY2026JE,0,28,28,117630.0
EPTT_16MAY2026JE,0,146,146,646371.42
EPTT_16MAY2026JM,0,173,173,736117.12
EPTT_17MAY2026JE,0,72,72,326211.42
EPTT_17MAY2026JM,0,164,164,641547.11
EPTT_19MAY2026JE,0,21,21,100410.0
EPTT_20MAY2026JE,0,23,23,106020.0
EPTT_21MAY2026JE,0,20,20,75178.58
EPTT_22MAY2026JE,0,13,13,56680.0
EPTT_23MAY2026JE,0,141,141,677059.99
EPTT_23MAY2026JM,0,118,118,488620.0
EPTT_24MAY2026JE,0,107,107,498622.83
EPTT_24MAY2026JM,0,71,71,285134.28
